table,column,type,unit_or_levels,required_for,notes
sites,site_id,string,unique identifier,all analyses,Stable identifier shared across all tables
sites,island,string,place name,all analyses,Use a predeclared island vocabulary
sites,latitude,number,decimal degrees,spatial sensitivity,Record coordinate precision separately where needed
sites,longitude,number,decimal degrees,spatial sensitivity,Record coordinate precision separately where needed
sites,elevation_m,number,m,environmental alternatives,Record measurement source and date
flower_individuals,individual_id,string,unique identifier,flower colour and genotype,Link to site_id and collection metadata
flower_individuals,site_id,string,foreign key,all analyses,Must match sites.site_id
flower_individuals,colour_score,number,predeclared scale,colour outcome,Store raw reflectance or image-derived values separately where possible
flower_individuals,anthocyanin_score,number,concentration or relative scale,mechanistic colour trait,Include assay batch and calibration
pollinator_visits,observation_id,string,unique identifier,pollinator-selection motif,One observation bout per row
pollinator_visits,site_id,string,foreign key,pollinator-selection motif,Must match sites.site_id
pollinator_visits,flower_colour_class,string,predeclared classes,pollinator-selection motif,Do not change classes after inspecting visits
pollinator_visits,visitor_taxon,string,lowest reliable taxon,pollinator-selection motif,Record uncertainty or morphogroup level
pollinator_visits,visit_count,integer,count,pollinator-selection motif,Retain zero-count bouts
pollinator_visits,flower_minutes,number,minutes,pollinator detection model,Exposure effort for detection and visitation rate
pollinator_visits,pollen_transfer_success,integer,0/1 or count,realised pollination,Record protocol and assessor
fitness,individual_id,string,foreign key,selection versus drift,Must match flower_individuals.individual_id
fitness,fruit_set,number,proportion,selection evidence,Record denominator and missingness
fitness,seed_count,integer,count,selection evidence,Record fruit-level replication and sampling rule
common_garden,individual_id,string,foreign key,plasticity versus genetic persistence,Include maternal family where available
common_garden,garden_id,string,unique identifier,plasticity test,Environmental treatment metadata required
common_garden,colour_score,number,predeclared scale,plasticity versus genetic persistence,Same assay scale as field or documented conversion
genotypes,individual_id,string,foreign key,drift and gene-flow motifs,Store raw VCF or genotype matrix separately
genotypes,marker_set_id,string,versioned identifier,neutral-marker sensitivity,State filtering and linkage-pruning rules
genotypes,missing_rate,number,proportion,genotype quality,Retain before filtering
population_summary,site_id,string,foreign key,drift and gene-flow motifs,Derived table with reproducible script
population_summary,effective_population_size_estimate,number,individuals,founder-drift motif,Report method and uncertainty
population_summary,migration_estimate,number,rate or relative scale,gene-flow constraint motif,Report model and uncertainty
observation_channels,trait_name,string,trait identifier,noisy inference,Must match a derived qualitative trait
observation_channels,sensitivity,number,0-1,noisy inference,Justify with calibration or sensitivity analysis
observation_channels,false_positive,number,0-1,noisy inference,Justify with calibration or sensitivity analysis
observation_channels,replicates,integer,count,noisy inference,Map to TraitDetection trials
